k,failProbability
5,0.0625
55,0.28772344631818925
105,0.3449643525607715
155,0.3791256680413888
205,0.4007594062334191
255,0.41818153870866936
305,0.43212170533501915
355,0.4438597477681058
405,0.4541846518678838
455,0.4624944911368424
505,0.470195829159074
555,0.4768667985528705
605,0.483129443182165
655,0.488754222749165
705,0.4939326450023446
755,0.49856042177876825
805,0.5028896609562996
855,0.5070741325823995
905,0.5108636540443082
955,0.5145698886579979
1005,0.5178932687716951
1055,0.5211681869713931
1105,0.5241387601330263
1155,0.52707441756895
1205,0.5297522372966468
1255,0.5324294353713921
1305,0.5348872414674894
1355,0.5373585377090425
1405,0.5396779177167135
1455,0.5419287881926451
1505,0.5440595910915191
1555,0.5460246191210114
1605,0.5480225712279971
1655,0.5499200410855221
1705,0.5518509300248655
1755,0.5536139960227363
1805,0.5552697943888283
1855,0.556975361264612
1905,0.5587023998097196
1955,0.5601770772793091
2005,0.5617110535622534
2055,0.5632005486406397
2105,0.5646754320312062
2155,0.566061439819648
2205,0.5674119043734126
2255,0.5688087013158578
2305,0.5700808336960435
2355,0.5713241411222252
2405,0.5726244441317716
2455,0.573809842101684
2505,0.5749817671531824
2555,0.5761715076724392
2605,0.5772862051856678
2655,0.5784229236687326
2705,0.5794819981774859
2755,0.5805437271368967
2805,0.5816486751927
2855,0.5825932605810245
2905,0.583638786308235
2955,0.5846171691022274
3005,0.5855398781841985
3055,0.5865315117185863
3105,0.5874294178685712
3155,0.5884175359283442
3205,0.589225203073608
3255,0.5901293350047606
3305,0.5910010419880707
3355,0.5918114942457035
3405,0.5926803917401314
3455,0.5934815395796504
3505,0.5943407858836198
3555,0.5950674296383294
3605,0.5959104097618615
3655,0.5966417307949919
3705,0.5974328517905677
3755,0.5981327590058466
3805,0.5989091843402536
3855,0.599612867886169
3905,0.6003193845994079
3955,0.6010153187929977
4005,0.6017268620032352
4055,0.6024087562481685
4105,0.60307113466136
4155,0.6037333975394734
4205,0.6044060758652865
4255,0.6050499211948581
4305,0.6056820148242614
4355,0.6063027109123275
4405,0.6069509013912736
4455,0.6075492035784078
4505,0.6081831830592318
4555,0.60874007514024
4605,0.6093790249810221
4655,0.6099252920502657
4705,0.6105438186731216
4755,0.6110599088938423
4805,0.6116557375044921
4855,0.612190321351309
4905,0.612764927732997
4955,0.6132763466444426
