sex,age_cat,race,two_year_recid,score
1,2,0,1,0.9078978264470244
1,0,0,1,0.9078974760355056
1,2,1,0,0.9078972326931136
1,0,1,1,0.9078971776969907
1,0,0,1,0.9078971264088931
1,0,1,0,0.9078970218547548
1,0,0,0,0.9078969808799385
0,0,1,0,0.9078969663632463
0,0,0,0,0.9078968978388823
1,0,0,0,0.9078968804611955
0,2,1,0,0.9078968729921836
0,0,0,0,0.907896813568578
1,2,1,0,0.9078967840121673
1,0,1,0,0.907896749726444
1,0,1,0,0.9078967368210213
0,2,0,0,0.9078967211215939
1,2,0,1,0.9078967115108144
1,2,0,0,0.9078967026619127
0,0,0,0,0.9078966747051086
0,2,0,0,0.9078966487441819
1,0,1,0,0.9078966170961345
1,2,1,0,0.9078966168092241
0,2,1,0,0.9078965987919577
1,2,0,0,0.9078965942851489
1,0,0,0,0.907896581711313
1,2,1,1,0.9078965275371847
1,2,1,1,0.9078965042062643
0,0,0,1,0.9078964917582201
1,2,0,0,0.9078964823215085
0,0,0,0,0.9078964738152849
1,0,1,0,0.9078964512910531
0,0,1,0,0.9078964390536365
1,2,1,1,0.90789643282365
1,0,0,0,0.907896417546982
0,2,0,0,0.9078964133601577
1,0,0,0,0.9078964113838892
0,2,1,0,0.9078963820684413
1,0,0,0,0.907896373819433
1,0,0,0,0.9078963681326846
1,2,0,0,0.9078963553349333
1,0,0,0,0.9078963539060622
1,0,1,0,0.9078963464853059
0,0,1,0,0.9078963320431837
1,0,0,0,0.9078963197025239
0,0,0,0,0.9078963170279882
1,2,1,0,0.9078962994995196
1,2,0,0,0.9078962819241505
1,2,1,0,0.9078962803083729
1,0,0,0,0.907896279546537
1,0,1,0,0.9078962696073775
1,0,0,0,0.90789626900994
1,0,0,0,0.9078962600072389
1,0,0,1,0.9078962487974253
1,0,1,0,0.9078962377228464
0,2,1,0,0.9078962248994388
1,0,0,0,0.9078962152970161
0,0,0,0,0.9078962076274956
0,0,0,0,0.9078961881847685
0,0,0,0,0.9078961599860947
1,0,1,0,0.9078961576314355
1,0,0,0,0.9078961352794509
1,0,0,0,0.9078961288352975
1,0,1,0,0.9078961109647042
1,0,0,0,0.9078960766588142
1,2,1,0,0.9078960763050254
1,2,1,0,0.9078960706846223
1,0,0,0,0.9078960549170736
1,2,1,0,0.9078960445632446
1,0,0,0,0.9078960216842168
1,0,1,0,0.9078960126851238
1,0,0,0,0.9078960039758419
1,0,1,0,0.9078960004167431
0,2,0,0,0.907895994168974
1,2,1,1,0.9078959811128942
1,0,0,0,0.9078959807787995
1,0,1,0,0.9078959767365828
1,0,1,0,0.9078959688800159
0,2,1,0,0.9078959650121894
0,0,0,0,0.9078959635134578
0,2,1,0,0.9078959584333882
1,2,1,1,0.9078959582999226
1,2,1,0,0.9078959448717449
1,2,1,0,0.907895932455295
1,2,1,0,0.9078959323499894
1,2,1,0,0.9078959158025603
1,2,1,0,0.907895912566837
0,2,1,0,0.9078959046363658
1,2,1,0,0.9078958887188449
1,2,1,0,0.9078958860268215
1,2,0,1,0.9078958827920135
0,0,0,0,0.9078958774381141
1,2,1,1,0.9078958759274544
1,0,0,0,0.9078958650101091
0,0,1,0,0.9078958610616945
1,0,0,0,0.9078958312564094
1,0,0,0,0.9078958280316357
1,0,0,0,0.907895818060372
1,2,1,0,0.9078958090531873
1,0,0,0,0.9078957930725209
1,2,0,0,0.9078957911142536
1,0,1,0,0.907895786290094
1,0,1,0,0.9078957789968042
1,0,0,0,0.9078957763156745
1,0,0,0,0.907895768286028
1,2,0,0,0.907895760893559
1,2,0,0,0.9078957477054949
0,0,0,0,0.9078957259851126
1,0,0,0,0.9078957257452928
1,0,0,0,0.9078957178976688
0,2,1,0,0.9078957144785772
1,2,0,1,0.9078957133691621
1,0,0,0,0.9078957085910069
1,0,1,0,0.907895705200702
1,2,0,0,0.9078957034921892
1,0,1,0,0.9078956985709145
1,0,0,0,0.9078956817073012
0,2,1,0,0.907895677241189
1,0,1,0,0.907895674190322
1,0,0,0,0.9078956664122911
1,2,1,0,0.9078956620667508
0,0,0,0,0.907895659332077
0,0,0,0,0.9078956564580507
1,0,1,1,0.9078956532526585
0,0,0,0,0.9078956490460249
1,0,1,0,0.9078956479397523
1,0,0,0,0.907895646714258
1,0,0,1,0.9078956422797542
1,0,0,0,0.9078956384138821
1,0,1,0,0.9078956365173344
1,0,0,0,0.907895631128006
1,2,1,0,0.9078956275685754
0,0,1,0,0.9078956196344533
1,0,1,0,0.9078956151741969
1,2,1,1,0.9078956065343069
1,2,1,0,0.9078956054340873
1,0,0,0,0.9078956054138229
1,0,0,0,0.9078956025486585
0,2,0,0,0.9078955990240659
0,0,1,0,0.9078955985530037
0,0,0,0,0.9078955977130428
1,0,0,0,0.9078955878149115
1,0,0,0,0.9078955830463824
0,2,1,0,0.9078955735459102
1,2,1,0,0.9078955694306114
1,2,0,0,0.9078955693874948
0,2,0,0,0.9078955628718587
1,0,0,0,0.9078955550872561
0,0,1,0,0.9078955370054738
0,2,0,0,0.9078955320983203
