sex,age,foreigner,decileRank,score
1,0,0,4,5.364296761757883
0,2,1,9,4.489940712813434
0,0,1,7,4.451771572439141
0,1,1,0,4.391690518146273
0,1,1,0,4.388863174414843
0,2,1,9,4.102948039574076
1,2,1,9,4.082096379554787
0,1,1,0,3.9813722591226246
0,0,1,1,3.9495646421440473
0,2,1,9,3.9096284119376112
0,0,1,3,3.8608567325704595
0,0,1,2,3.8149123969347363
0,2,1,9,3.7187827100661472
1,0,1,6,3.42756630572895
0,0,1,6,3.358296384308937
0,0,1,3,3.3247216774982165
0,0,1,8,3.3059905252774984
1,0,1,7,3.290793552721067
0,0,1,6,3.2271783187639125
0,0,1,8,3.1660370105717583
0,0,1,5,3.1529605458138987
0,0,1,5,3.086164550158886
0,0,1,6,3.063545800307453
0,0,1,3,3.0282040036645896
0,0,1,4,3.006292089746014
1,0,1,1,2.9483315432517174
1,1,1,0,2.9299538089974284
0,0,1,3,2.8479608407859844
0,0,1,3,2.7546584976488244
0,0,1,2,2.7270918962673907
1,0,1,1,2.7256782244016757
0,0,1,8,2.6921035175909553
1,0,1,5,2.641211330425232
0,0,1,6,2.6012751002187957
0,0,1,7,2.5514431669523576
0,0,1,7,2.5206958038730662
0,0,1,6,2.4920689485923466
0,0,1,6,2.46520918314377
1,1,1,0,2.44188359735948
0,0,1,7,2.431281058366621
1,0,1,1,2.3726136759394674
0,0,1,4,2.3326774457330313
0,0,1,1,2.251744731420873
0,0,1,2,2.230539653435155
1,0,1,4,2.2287725636030116
0,0,1,6,2.1891897513630045
0,0,1,2,2.169751763209429
0,2,1,9,2.130875786902279
0,0,1,1,2.125221099439421
0,0,1,8,2.122393755707992
0,0,1,2,2.0934134824608437
0,0,1,5,2.048175982757978
0,0,1,3,2.041107623429405
0,0,0,8,2.0142478579808287
0,0,1,4,2.010360260350114
0,0,1,5,1.9831470769351087
0,0,1,2,1.8997404368579502
0,0,1,2,1.8887844798986626
0,0,1,8,1.8848968822679475
1,0,1,1,1.8527358473229416
1,1,1,0,1.8357717849343669
0,0,1,8,1.8106791093179337
1,0,1,3,1.80643809372079
0,0,1,8,1.7947753008286451
1,0,1,7,1.785939851667929
0,0,1,1,1.7566061604543521
1,0,1,3,1.7223246177107743
0,0,1,7,1.707127645154343
0,0,1,1,1.6986456139600556
1,0,1,1,1.6986456139600556
0,0,1,2,1.6678982508807643
0,0,1,3,1.6601230556193343
0,0,1,8,1.6364440518686154
1,0,1,1,1.624074423043613
0,2,1,9,1.6201868254128982
0,0,1,7,1.6099377043864675
0,0,1,6,1.605696688789324
0,0,1,7,1.5968612396286082
1,0,1,3,1.5869655365686062
