,score,group,uuid
2,0.9078972326931136,1,c0a67594-4ca0-49b5-8af9-66fdb7dc2518
3,0.9078971776969909,1,1233c763-9401-45bd-8fec-9aa20d836664
0,0.9078978264470244,0,a728e00e-3c67-4b5d-a5f9-a44de1b4cc55
5,0.9078970218547548,1,daa9858c-9e6c-4e34-ae54-d756b7ae9c06
7,0.9078969663632463,1,eec334ac-1928-4342-a3d3-47ddab7cd4c1
1,0.9078974760355056,0,a4ddd13c-3ebd-4081-bc79-abcd1e303470
4,0.9078971264088932,0,b46a497c-80e7-4e0d-82ba-28c2c95d2dc4
10,0.9078968729921836,1,d236d279-5714-45b7-b72d-76272b6a671c
6,0.9078969808799384,0,6a688b57-21f6-4fab-914d-fb910295d343
8,0.9078968978388824,0,ad1a252b-d21d-41ac-a06a-e3e28d3a42db
12,0.9078967840121672,1,85744317-a94b-4aba-a1c1-8b82f710ca92
13,0.9078967497264441,1,6b811434-dd60-4a5c-884b-5eb90813d68e
14,0.9078967368210212,1,45016dcc-35b0-44b4-b3e5-08d36cb4eef3
20,0.9078966170961345,1,699a6561-35a9-4235-bef1-badb13d6d2f2
9,0.9078968804611957,0,2a0c7268-01f6-4786-8d5c-a130ba97195d
21,0.907896616809224,1,71a7881c-6bab-408d-9172-4c6071493cc5
11,0.9078968135685781,0,ded1e85f-e7eb-4a29-b917-0823e68790db
15,0.907896721121594,0,34f869cd-8989-40ee-afb2-cc3f1289f7fc
16,0.9078967115108144,0,4a9645a4-6924-4e96-b77e-15fd4a5933b7
17,0.9078967026619128,0,679498b9-2c1f-4771-9019-3be4f662b939
22,0.9078965987919576,1,6c5fda69-38c4-410f-acaa-5bbb9add0aff
25,0.9078965275371847,1,1df5bc68-e645-4cf4-9c11-a631c0bc9d3f
18,0.9078966747051086,0,75f487de-9a6b-4d6b-b691-a8788a7428f9
19,0.907896648744182,0,d89a68f2-1660-436f-9c18-873e764ced8e
26,0.9078965042062644,1,b5c50f6e-42ac-4b09-beae-a8c933d922bd
23,0.9078965942851488,0,adc0d9a0-3018-4027-96b5-51f847ed7b2a
30,0.9078964512910532,1,3d0d6008-f3f9-4ee2-a904-e4c2b959973f
31,0.9078964390536364,1,10825a1d-b341-4c8c-9b54-afa0f446138e
32,0.9078964328236501,1,f12dd9ea-e74b-459d-9133-1b5c961d3a4b
36,0.9078963820684413,1,fa8d746f-bc4e-4512-ab4e-db81de0397a6
41,0.907896346485306,1,47edd9ba-c024-43cd-b5d9-3d6bc20636bc
24,0.9078965817113129,0,1a2f246f-6a39-4242-9939-bc75df8a7cb8
42,0.9078963320431837,1,2f32d3d4-d53f-488f-9ea4-d6f2c6987c2a
27,0.90789649175822,0,812df8a4-6171-4afc-8c4b-a324df4a0940
45,0.9078962994995196,1,2f2ae3f5-bf11-4e30-9589-4712f45d246f
28,0.9078964823215084,0,b9245969-3823-4b4f-92bb-1683008d3701
47,0.9078962803083728,1,b34b0eaa-27e4-491b-86b2-d5cd74869fd6
29,0.9078964738152848,0,bbab6c50-6c94-4540-a2b9-50863f97fd9d
33,0.907896417546982,0,0fbcb4c9-4439-42b2-aa36-f7c4c2beedf2
49,0.9078962696073776,1,8f3319c0-69b0-45c0-934e-96a75f88409f
53,0.9078962377228464,1,7306efe3-0e7d-407d-965d-17656c16864e
34,0.9078964133601576,0,9e78fa56-f743-4fb1-aa9b-1b889d8711d7
54,0.9078962248994388,1,57eb74d9-4f5e-480e-a7a2-c7531f3b5806
35,0.9078964113838892,0,78c578fc-7c89-4d93-888d-e167ed8b7724
37,0.907896373819433,0,75ecb774-62df-4390-8974-1159c7980b5b
59,0.9078961576314356,1,a42186bc-1bd0-4b4a-9c92-6cfccdae3cdc
38,0.9078963681326846,0,7920ebf1-e73d-4552-acc9-d710d2758fbe
62,0.9078961109647042,1,940d5f74-036b-4975-a915-443cedf7f372
64,0.9078960763050254,1,d48679d4-fb3d-4fb3-8cbc-8d3c4726ff80
39,0.9078963553349332,0,497cfad3-dffb-40f6-9738-d7718abd9d4e
65,0.9078960706846224,1,d5e2ce9a-a6bc-4354-8c6d-ffb1e8ffe1dc
67,0.9078960445632446,1,3170ad56-55a0-4fea-aaef-e68f4e9fa449
69,0.9078960126851238,1,eec26801-ab41-43fb-917a-a76e4a7a2fea
40,0.9078963539060622,0,1a21e7ad-82f7-4d19-8cb7-ff22de5f58e0
71,0.9078960004167432,1,26d33d42-b1d0-406b-af4b-cd1de1f330d7
43,0.907896319702524,0,aae05d40-833b-4a1d-aecf-73e425313bec
73,0.9078959811128942,1,b8d63d0f-981c-41c1-8e96-340626113793
44,0.9078963170279882,0,6d5d36c9-3669-484b-972c-3807218a6721
46,0.9078962819241504,0,c94016f4-fdde-4fe8-a06e-2313e61dd37e
48,0.907896279546537,0,6435a101-30ef-4a83-bd15-f686fbfbf9a4
75,0.9078959767365828,1,bc6584a0-c479-42a4-8268-71f892da1e6e
50,0.9078962690099399,0,8cfde21e-2020-4eb4-a849-0b257ad3663b
51,0.9078962600072388,0,d850732a-b2b8-435d-aa5e-e0c0bc1b6f7b
52,0.9078962487974253,0,4f68d9c0-4ca2-4833-9112-0dc50c6d0ab1
55,0.907896215297016,0,99025f5c-27a3-4f96-9fba-d68215e93ef4
76,0.907895968880016,1,66fb0c93-a659-44b9-adc1-269ce4f8eb6a
77,0.9078959650121894,1,a3ee2774-8dc4-47cd-b902-842876cb3567
79,0.9078959584333882,1,b848b9e9-7df7-4d9a-baa0-f740340af289
56,0.9078962076274956,0,a1b5086f-3b56-497e-a8ce-581fcdefb9de
57,0.9078961881847684,0,258c72da-77eb-43b3-9045-57c13a18b01c
80,0.9078959582999226,1,02cb9ef1-bf6b-4ec7-b769-f4cbd777b321
58,0.9078961599860949,0,968bae52-1454-4fd8-8f19-bd784c3c7188
60,0.9078961352794508,0,daa22a5c-cf46-4e38-b87b-c02dc74b3d51
81,0.9078959448717449,1,fe7c89f5-e238-41d0-a6f5-d5bb586eccdd
82,0.907895932455295,1,1d7c6415-cd68-4977-84ac-16bfc3db37ce
83,0.9078959323499894,1,5474f1e6-9238-4e59-8716-525e87e07e61
61,0.9078961288352976,0,5daf4717-e96f-43bf-b5dd-c860365b5e7a
63,0.9078960766588142,0,56922821-90fb-4561-9d90-4c24c45db9d1
66,0.9078960549170736,0,1c276b85-0e40-4e95-9dda-0884578712f2
68,0.9078960216842168,0,c99333b9-cd4b-4a46-8429-19dcf08e29d7
84,0.9078959158025603,1,61390e2a-cf8a-435a-aa5b-3ed2e00591ed
85,0.9078959125668371,1,85d43b3a-e403-4414-8eaf-3fb4c88e708e
86,0.9078959046363658,1,899c8206-0429-4dd4-a080-99a053ace56d
70,0.907896003975842,0,7f7cbbbf-6c47-47cd-af4b-1a9112fe7766
72,0.9078959941689742,0,9a7f1017-839c-4677-8b7e-ee9d32cb1aa0
74,0.9078959807787996,0,397be729-1eef-4cf8-997b-82775695c0c6
87,0.9078958887188447,1,6117eaf1-9f07-44c2-ad93-896ac14af14a
78,0.9078959635134578,0,3eba83bd-1de0-47b3-b4d9-c09590e890ec
88,0.9078958860268216,1,1fc94399-bad7-4943-97bb-10b90fc8810a
91,0.9078958759274544,1,75bd6587-6869-4fad-9cec-f2e2d9aeb795
89,0.9078958827920136,0,ae5ad136-d09d-4dbe-84ad-d6fd8949589e
90,0.907895877438114,0,6584015e-971c-42cf-a24a-2d0a9fafb7dd
92,0.9078958650101092,0,4a12a6a2-0102-4f35-8ad1-e897b34e85aa
93,0.9078958610616944,1,6c2f589d-edee-4aeb-8f68-3623b46dfc83
97,0.9078958090531872,1,78b9bcb3-ba8e-46fd-a39f-de97538692e5
94,0.9078958312564094,0,e085d281-a462-47de-9340-946e96588197
95,0.9078958280316356,0,cb09f0d8-3615-4643-a0c4-26040e61948d
100,0.9078957862900942,1,1f54bba8-82f9-4dc4-932a-5a2bf5722b91
96,0.907895818060372,0,3d5d044a-6e87-43e5-b377-9b96d1313db6
101,0.9078957789968042,1,49e5e4ca-9c57-422b-940c-9f34c2aa3903
