score,group,uuid
48.0,3,1cb313d2-7898-4f9a-812a-acb16d20793c
48.0,0,01aeb53a-de56-467d-9789-5881fb6356f9
48.0,0,01fe1a1f-52b7-484a-87bd-a693a6b2fac6
48.0,1,003649c1-2004-4509-a28f-49b47bc69951
48.0,2,2aae8915-a5b0-4d45-b830-24d3c8cae272
48.0,0,02ec42f2-db00-4ffa-9940-1174e8d97099
48.0,3,38bcd2d2-7e87-4e5b-b224-64084a0495b2
48.0,0,03b3920e-730f-4819-b659-dd4f8efd5ad4
48.0,1,01343315-09d1-4887-a96b-0d12c5c05274
48.0,2,436e7d20-e080-4f49-a74b-d01efa4e0b06
48.0,1,02392d1f-7538-4a60-999c-119293a331d0
48.0,3,5ba0786d-29da-40f9-8906-d7ff579710c0
48.0,1,03e4481b-a037-45dc-9682-f024cc5c2261
48.0,0,05accc44-6204-4add-8669-d03aca6dee75
48.0,3,89b0765b-73c9-4b81-bc31-506c98eb94f5
48.0,2,7794193f-adce-4384-91fd-792e36e6da81
48.0,3,9660bac2-9eca-4883-af51-d86cd0db2ca9
48.0,3,a206420b-f03f-42e1-8574-a0b18fedca9c
48.0,2,7ab067fa-0e27-4073-a07b-85d309e79c9e
48.0,2,918cbb18-b558-47d2-a9a0-ca3c1beb64d7
48.0,0,06243459-ad1c-4a91-9450-a6c71e8bfed5
48.0,3,b1b157bf-3504-4bf8-8597-634b1f1755da
48.0,0,0764182c-1a0e-4406-b22f-872751a27a1c
48.0,2,a09b2dae-e247-41d2-b61e-055c8cac746b
48.0,3,d4f60533-4193-49d0-aa26-2443717c7acd
47.0,3,24521ee0-0332-480c-8527-90fcb48d2c7f
48.0,2,d4709d80-4b0b-4901-bdc7-5f19dab11837
48.0,2,f2acf660-89be-49ae-951e-e03580e92f54
48.0,2,feb8b0cb-0f63-4a38-b57a-23693b175843
47.0,3,3f73e5cb-1701-4a34-8dee-baba7c741ad7
48.0,0,0813116c-af15-4f4c-bc2e-8a91f0d0370d
