uuid, score, group
6ea150ee-ff5a-42e1-8ee5-06df6f82934c, 48.0, 0
d9b6134c-cabb-484a-bc92-8e163bcd6758, 48.0, 1
45d6aded-2d5d-45f2-b191-e3120861225e, 48.0, 0
2b7562f7-a107-4e10-8adc-3095be1a3952, 48.0, 0
1400ace4-35f0-4e18-9e59-2ef0292c09a9, 48.0, 0
eaef647d-6211-49a9-a00d-b4a84267e694, 48.0, 0
8748f401-5385-4914-8a82-8cba01b4f5ff, 48.0, 0
7b51d554-894b-4b2b-932f-ff740e46bf3d, 48.0, 0
5e8ec49b-55bb-44d8-a7d4-07b263273f97, 48.0, 0
66101eb8-e21a-4d98-9a4c-45764bf9eacb, 48.0, 1
ec0467e4-363f-440f-a7eb-8b680c1e7283, 48.0, 0
f53c537d-2f66-45d3-a6b2-0d292ef9fa1a, 48.0, 1
05553373-917a-47f2-9f63-33e302e7753a, 48.0, 0
4c7b89c3-aa9c-48cd-8a3f-014a7cf846dd, 48.0, 0
b8e2e0d7-189a-4913-9144-e384ea4c494c, 48.0, 0
db682c5a-3f36-4faf-850b-3ca38d8c0c40, 48.0, 3
c4c71600-a2b7-4cec-96b0-b704f136054e, 48.0, 0
28985a7f-6bb9-4841-99bb-cea0a359cd1e, 48.0, 1
7e56f9c4-46bf-4173-a102-cb7ec1d7c98c, 48.0, 1
b1914fb6-e87e-45ac-b5e2-327160e52000, 48.0, 1
ff7df1dd-29ad-4f68-b6fe-183119355de4, 48.0, 0
cbf11898-41f8-4334-8f74-200508663d76, 48.0, 0
830f4165-7586-43ff-9f15-f2a595892352, 48.0, 1
4520032d-527e-4662-a4e2-5b2b3a993265, 48.0, 3
5af23384-448c-4918-95c9-b15d70f6812f, 48.0, 1
5a997be4-1041-4db9-a90d-0116c1d6c4a6, 48.0, 1
7d3799b5-bd08-4792-afb3-451ba02c72ed, 48.0, 3
b8ed298e-0d7d-4626-b29a-2b27850982cf, 48.0, 0
364f9320-da77-423d-88c0-e1b6bfc24e43, 48.0, 0
4162d7f9-a462-4682-a4a4-32c5b9cbea01, 48.0, 0
9cf2803d-2dcb-4a0b-aaf5-fee26fa3feaa, 48.0, 0
d2e82d51-fdf8-4428-a738-b7ec8dbc8cc1, 48.0, 0
80fe7915-4d4a-4e09-b478-14ceb7449aec, 48.0, 0
52bdc39c-3547-439e-a668-0cbb3a0aa6d7, 48.0, 0
72cdbf9a-0515-4da0-afac-a1d8b4784a0e, 48.0, 0
2deced8c-9d5b-4a0b-8e61-061bb2b22fae, 48.0, 1
66f37f69-4f45-4c57-8143-59696f417b74, 48.0, 0
138e357d-ef10-417e-812c-eb23e62f99e8, 48.0, 2
5a707622-d8df-4621-8e95-4940ebec89ac, 48.0, 1
769e1cb3-8e59-43c3-ba83-8761a6aeb490, 48.0, 1
eafa604e-b772-46ff-b3e9-06993e326618, 48.0, 0
e0b7b79e-9fe4-4bbf-b9c0-3ea44c2ae5bc, 48.0, 0
9318a81c-7c2a-4a73-9ffe-c2ef831d3299, 48.0, 0
e1d29318-3800-4c05-8741-2fcc9e52c5f0, 48.0, 1
e4068c85-9212-47e7-ba70-2fd653915da3, 48.0, 0
15c8053b-7078-435a-ade7-55c7cca92ce2, 48.0, 0
a5669bce-0b9d-4324-abde-1ca567dd7b90, 48.0, 0
18712e8d-49fe-4aa6-9ab1-230566386f19, 48.0, 1
e8355d98-4ccf-4b49-a04f-9e923e52af67, 48.0, 0
feed864a-bfbd-4c4c-8cc9-ed45e0dba9f2, 48.0, 1
19899812-413a-4cf5-ae75-ffecc32fb4e9, 48.0, 1
1cca473d-df01-4c7a-b421-e35032dc1a09, 48.0, 0
072c25f2-d7e8-4c14-916e-eb7e9e4ceff9, 48.0, 0
be7b42b6-4081-4aee-a2a6-8f49c361faf9, 48.0, 0
499ca141-a463-4224-9ba5-31365c20d0fd, 48.0, 1
78763519-3838-47f4-bcca-0dac0f8ecb83, 48.0, 0
28cd546a-528a-4b59-b938-e68324db9d45, 48.0, 0
c02bc617-9102-4026-8361-9be77a3f207f, 48.0, 0
2457ac4a-29b2-41f0-8454-1b80475c3ca8, 48.0, 1
08fbc05e-3914-42ec-836c-63113779497c, 48.0, 0
c60d9609-cfe0-4b09-9ab8-c243549c1ee7, 48.0, 0
d1fc8e33-5845-4adc-afec-87b5cddc257c, 48.0, 1
45a2cbba-28ff-41a5-8687-bd518349ff80, 48.0, 0
6bb029cc-e248-4b99-842a-ec740eba54cd, 48.0, 2
1191458a-0556-4d9d-9a18-268a26362c26, 48.0, 1
cb0ee4bd-b6d5-4edb-a4c7-fbb79faa7d80, 48.0, 3
442d5c46-2d27-4fa6-ae49-79b3cfd70ef6, 48.0, 0
4c28739c-c10e-463f-85bc-2b70e2fa49d4, 48.0, 0
70d36206-e241-47d5-a6f8-35c4186393d7, 48.0, 1
2f58cf6e-fd47-4167-941d-12ce4950f7ae, 48.0, 2
d37f30c2-67e3-4161-9985-b8830c94e766, 48.0, 0
9b2f030d-a41f-4f9c-8e7f-3c8a4dedc090, 48.0, 0
d1c5b416-792f-4a68-b7ee-8eeb509129b7, 48.0, 1
9055fc60-0bf4-4f87-8dde-90f0b176893c, 48.0, 1
abf6e36d-648b-4bed-8b0f-8672bb27b941, 48.0, 1
91bf1e84-c8c4-4f26-a816-ba19a28081ea, 48.0, 1
92300ba2-f17b-4446-a40d-a3d057676d3b, 48.0, 0
85e2276f-e63a-4d65-9b2b-36648e551be0, 48.0, 0
56b63a2f-0518-4a8d-a46e-4f3e9b33a74d, 48.0, 0
5ad17a95-cd63-410e-af1a-95ed2cd4cd61, 48.0, 1
a4802e5a-b672-4cc3-8057-82f352b5e236, 48.0, 0
76281982-237a-48e5-896f-1be7434b43af, 48.0, 1
6baaaa0b-6893-4faa-979d-ab436aa85439, 48.0, 1
608b6616-c843-4cad-aa3d-c64faeba8968, 48.0, 0
4d5e191f-3061-43b0-aacd-d78c23c7a18a, 48.0, 3
8eb457f6-2864-4685-a60b-5b5626dc10dd, 48.0, 0
f18275bf-c790-4559-958f-6feaf7bba0a3, 48.0, 0
e2bf3e99-c35c-4f1d-96eb-f07fc1652345, 48.0, 0
265517ab-28e6-4e45-ae63-ef9624753770, 48.0, 0
cd8db2ee-f7f3-480e-bfa5-1fc6fb73e309, 48.0, 0
78da011b-8134-400f-a822-f8a3349dc901, 48.0, 0
947aa7f1-2af7-4d2b-a0b8-56763209ffcc, 48.0, 0
0d827c1d-e7b9-48d9-b9f4-7450e2286817, 48.0, 1
0b92168d-b828-44b9-9d72-783c9449640b, 48.0, 1
af687b75-461b-4402-8685-1a429f2d6709, 48.0, 1
8d4d993d-bf35-4f7a-9f0f-acda4c19627e, 48.0, 1
2d3357bb-cb96-416b-96d4-4174d2228165, 48.0, 0
f036c104-976f-4cfc-84dd-722ade6fe7f0, 48.0, 0
ee651086-d385-4ad1-a92a-27312c9edad5, 48.0, 1
f9cd597a-67f6-47ed-a782-629ebbab75d3, 48.0, 0
a423bdb5-809d-4e6d-8312-eff66d808376, 48.0, 0
c2c31c9f-e051-4b0d-b423-f971a67041cf, 48.0, 1
05293a1c-cd8f-4d20-87e4-38d2bd1f5d8f, 48.0, 1
fa5b0f5d-4cd3-4d19-a2c5-b4aa87b0d9fe, 48.0, 0
358d50e0-2e73-429a-ad2c-9eff1cb1174d, 48.0, 0
4b573592-5f86-4a36-929e-0f0bdda83fe0, 48.0, 0
556ea10b-a6fa-4fb4-9eeb-865d35e67458, 48.0, 0
d6a605ca-770d-4218-beee-21dd8af4cc8b, 48.0, 1
63b44f65-e3a5-4d22-af2f-58a87158231a, 48.0, 0
889a27e8-4ef1-4d8e-bb21-00eeb1209f38, 48.0, 0
ff8a2394-538c-4303-9172-f370fe102537, 48.0, 0
f909ef9b-aa1e-434a-8a10-c8060637596a, 48.0, 0
3a17c700-651a-4f17-915b-dee4cc5b5698, 48.0, 0
9703f4e2-cd26-472f-8bce-2b6978b7e81d, 48.0, 0
6fc9270d-12d4-476e-a2b8-5a9fb6caf78f, 48.0, 0
21f7b295-d204-461c-b091-ba54f22d04d7, 48.0, 2
19284dde-f83c-4415-9f60-51c09d13501b, 48.0, 0
d973b2e6-0e81-443f-a81d-936ba9d311e0, 48.0, 0
49bd0d64-018c-4e5d-950d-9d39d7cac864, 48.0, 0
18854623-83ab-4fc8-a572-37ecf2bbbc8c, 48.0, 1
1e759330-b86b-4655-a358-163b01973f7e, 48.0, 0
4ed7039d-64f5-4f49-9940-f40cb6a9ef13, 48.0, 1
64aa7df5-e880-4963-b309-728482653c49, 48.0, 1
ba8ca9ac-da29-423d-be01-d13ef58ab5dd, 48.0, 0
de1810ae-d96a-4a6a-a038-f96178cf365a, 48.0, 1
4cc22600-e43f-4f5e-8cca-b960e3a3723a, 48.0, 0
f10cd042-3d4a-4480-81b1-a24b8498eb5a, 48.0, 0
11db8569-ae8c-4bd5-bd42-8d18f41c6dfc, 48.0, 3
139934e8-bf20-4ff5-bb3d-ce7f1d35ba2e, 48.0, 2
a7c5fb05-8191-4f87-8cfd-5410015c4691, 48.0, 1
b894c4bc-f893-43eb-9ed6-38d5707398dd, 48.0, 0
cd40bd03-c7dd-488c-b393-d7ef9692aba5, 48.0, 1
51045c2d-0306-4cd3-a465-ab45f930442c, 48.0, 0
c74fa795-f119-4570-a3fd-b952224c53bd, 48.0, 0
4df0932e-e85b-4cdb-9241-c3b86bbd356c, 48.0, 0
fc89bd20-4ee2-4d75-a068-2d1081bc710a, 48.0, 0
01463aef-95c5-45c6-82e9-0134aefa67bf, 48.0, 1
95439348-e062-4363-8b32-b7e6f2139051, 48.0, 1
ce001723-e890-4ca2-924b-c0d4d2a954b2, 48.0, 0
2a63ce78-8d1f-40ea-ade4-9a4c6a56ae77, 48.0, 1
5a3ebe3d-6fe7-4d40-bd34-2b0344c42551, 48.0, 0
a72a0db3-edf0-4b21-aafb-ae4142197917, 48.0, 1
5a9f019a-f3d7-4460-8119-28553fc69603, 48.0, 1
5c3499e7-2bd6-4143-b0ec-4c55d7f5808b, 48.0, 0
6d134286-bd65-48e0-bcd4-5dab64c30cfc, 48.0, 0
4cee93f8-7fc1-47c6-addf-534b8bd1dd41, 48.0, 0
59c97669-b7ae-4d03-949b-802b4e3f9280, 48.0, 0
7d459ae3-f17c-44fc-8267-39c197cbb3ae, 48.0, 1
8a183eed-6e33-4b31-bc7d-8ed44fb8d977, 48.0, 1
0c615969-671c-4310-9089-a1d7a9467457, 48.0, 1
aeababe4-e718-4749-a2d6-465835135dc6, 48.0, 0
68686de6-bb04-4f45-80f0-fa95612b4a4f, 48.0, 1
2cdcd3ff-3be9-417e-91d2-d4d078a35e95, 48.0, 0
d00cc155-d082-412a-9f8e-f0333d236780, 48.0, 1
a839a040-7ff3-4fb4-bf37-5f6690378b18, 48.0, 1
c252de64-58ee-4400-bcf7-a2a727604acb, 48.0, 0
3f32d29c-94d2-423f-8d2a-17931123f65c, 48.0, 1
697f955a-c285-447c-b996-9d98e5ed98eb, 48.0, 0
58eb5f0e-dee6-4a40-8d65-f4cd955830bb, 48.0, 1
17039598-5f82-431b-bbe2-9b9fc282dfb4, 48.0, 1
53c0bfe4-12e3-4d26-8df4-9d4e20845a03, 48.0, 1
e43b33ac-a48a-42cc-a39c-788715261301, 48.0, 0
