uuid, score, group
44f60614-9a25-4518-849a-e8e862022a3c, 48.0, 0
e205b9a2-8226-463f-902b-206b5a638047, 48.0, 1
9c744725-11bf-4646-a816-52e2c7c8f237, 48.0, 0
8001eee9-c774-446e-a467-246fa131c97d, 48.0, 0
0f8b578a-b1eb-4c84-bb4f-65fb66670404, 48.0, 0
e83aca71-be97-4700-b233-f48ed6aa3c74, 48.0, 0
9089b3d1-711a-4ea7-bf03-95e6575722a0, 48.0, 0
689d3b84-b0ff-4721-9a47-8f6a9d4de27c, 48.0, 0
15b551ad-4cb4-49df-93ae-9436b986fa2d, 48.0, 0
ee7d1b50-e1ff-4086-9926-79ce887d5cb6, 48.0, 1
fa5b9647-64a7-4925-a598-556e2a88360f, 48.0, 0
768f251c-4f3e-4add-831f-b7caedd2b151, 48.0, 1
f8436d22-28a2-4d06-87c3-4fa11591f346, 48.0, 0
ed11e30b-10db-4743-a25d-c06c1d1bd25f, 48.0, 0
0b7dddf0-6d12-42c0-8f0a-9aeb6cde13fe, 48.0, 0
e60929d2-5b23-4fa8-b3cb-1d142caa56f5, 48.0, 3
4377107f-601a-4368-bf73-9c7cf171bd52, 48.0, 0
7929101b-3b0f-4ee1-876e-10c5409883a9, 48.0, 1
68168a68-76e2-4745-865e-085433849982, 48.0, 1
65c0dca9-485f-4d38-bcae-662492146d1a, 48.0, 1
d34adc3d-3833-44aa-b692-890c030d4281, 48.0, 0
fc09bfd6-f3e5-42ca-8e48-abe5e01a289d, 48.0, 0
937fd8e3-6807-4d67-aebb-5505a54ea400, 48.0, 1
8ac1ff8b-3f11-4d4b-8489-4b38b8532dbd, 48.0, 3
24b643cf-191c-499b-9404-67fd838a5c5a, 48.0, 1
ff17d507-cc5a-46f2-8f8c-6935ec54f029, 48.0, 1
582b058d-89a3-4035-9c59-17603068b5ec, 48.0, 3
057301fb-bf5c-4a6d-93da-bbd08018092a, 48.0, 0
89821205-4cbd-4105-aa3f-755bce699df8, 48.0, 0
99acbc23-bd48-4609-b060-993bfc95c5bd, 48.0, 0
aa2ac9c3-5d24-43cf-a341-54c31195a018, 48.0, 0
45508b09-9550-42b4-916a-022791dea731, 48.0, 0
44db489b-0b70-4987-ab93-2bc7ffc5503b, 48.0, 0
e50d10af-15a2-445f-a0a3-74b5424530a2, 48.0, 0
43807436-f6ed-4491-8150-6dc6f4b93446, 48.0, 0
d88912d8-66f4-4211-9a5f-51a9db6e3655, 48.0, 1
96cbe52d-56a2-4ca5-bfed-8a82a376e9e3, 48.0, 0
45277a08-3be6-49fe-a814-ad489a8b4a5a, 48.0, 2
59fff6af-58ef-4c0c-a03d-9d854da8db7a, 48.0, 1
f5bd3290-fb2a-4f26-9234-7a4c9944fcb7, 48.0, 1
0071978a-dd6f-4efd-93b5-a74050aa0430, 48.0, 0
a24c9bc1-a6ec-4eac-b084-e862719b8a45, 48.0, 0
9311b2df-9394-418c-9d88-9e026cbefd28, 48.0, 0
c7a2a1fd-ac08-48df-8cb6-e74bfb58f5af, 48.0, 1
142922f3-82e6-4a52-826b-5b448a28fd9f, 48.0, 0
5b2ec9a4-116c-4a7f-93d9-0c237dc203fb, 48.0, 0
6ce89187-d656-41b9-a8e4-4f7d2623cd5d, 48.0, 0
4efa23de-e03f-4919-a85a-956f2aeacab5, 48.0, 1
4605a8f7-d264-4243-ba7d-067d80edb547, 48.0, 0
338f3c66-8101-4b62-a255-4ed6156b30fa, 48.0, 1
a2adbcfc-620d-4081-9214-5d1923d17d5d, 48.0, 1
41467f14-f857-4cf2-8de7-d37996879b37, 48.0, 0
af3bc88f-46c4-4fda-a9ac-b8bd8ae71cf5, 48.0, 0
44c0765a-a9eb-4230-a694-e5f5d1ea84ce, 48.0, 0
4ac3f67e-190d-422f-9fde-19ab8616d33d, 48.0, 1
b6622aec-a91e-4917-86a8-531016fcb3d8, 48.0, 0
