uuid, score, group
83f37fe3-08c8-4d9c-acb7-c4794b0d6908, 48.0, 0
34723453-9f85-4bb1-a042-5ca491773054, 48.0, 0
c855cc21-319c-4641-b4d8-4db6a0960059, 48.0, 0
d97da9bf-af09-4f61-97f3-61c72559f82b, 48.0, 0
ef72c57f-c9ec-48c8-a678-fe93ca478923, 48.0, 0
bf08031b-571c-4332-adc4-958795391144, 48.0, 0
58215126-c08f-47c4-a91e-ce24a5b6c000, 48.0, 0
35c400a1-eb4f-4afb-9b73-7d9d483ea191, 48.0, 0
f7bc2109-7592-481e-929d-52fea96d643a, 48.0, 0
28f5c98d-3674-42a3-813d-48778adcd8c6, 48.0, 1
2c9157ce-8fe5-4464-9914-d4c91523d38a, 48.0, 0
52c4ce63-97f8-4d22-944a-b50118458414, 48.0, 0
1d302edc-f3e0-4746-a126-8eefb215a80b, 48.0, 0
21ca3d66-cded-445d-beaf-7f36a3fa7d3a, 48.0, 1
76fdc7ad-b8a8-43c0-adf7-1183fd5a7d62, 48.0, 0
69273a4a-161c-4fb4-a337-adf495491dd2, 48.0, 1
b6f63619-987f-467a-a2ec-944976e348e8, 48.0, 0
42f687af-1c7e-468b-87a1-58cecab9fb0a, 48.0, 0
84a09847-e885-4465-bf10-8dda5776874d, 48.0, 2
15073c14-a1f1-4558-96b9-85aca25d8024, 48.0, 0
cfa796ed-00e6-4c4a-8d47-fbcf40048f40, 48.0, 3
cabf07f8-cb08-4f0a-8fdd-7fff20ce06ec, 48.0, 0
fbebdc49-5f96-4949-b6f8-6ad55d0e1cde, 48.0, 0
45c7bbfe-6eac-4dfe-ad0c-0e61f5d56808, 48.0, 1
4e01129e-1a99-4815-a730-61a45da1d093, 48.0, 0
0e834a92-f695-4da5-91da-243e42b08f5c, 48.0, 0
c921589a-5c19-43c5-8aec-8ac6cd251aca, 48.0, 1
c485abcf-48fc-4046-97f6-30cd72193223, 48.0, 0
6fbd3e23-df59-46d3-984e-69b575f3bce6, 48.0, 1
a711aa3c-b094-45c5-abb8-54a159120344, 48.0, 0
c9039bf2-1f9e-473e-be24-574c73cf9779, 48.0, 2
ec344f08-0623-4629-8051-e4ad933c4cf0, 48.0, 0
76f02397-6702-465a-bd6a-247b73eedd07, 48.0, 0
f8a7eb6c-f770-4c4d-805c-f78a4be8b430, 48.0, 1
4d5f54f9-1f72-4209-a646-6a7ff7ec8b9c, 48.0, 0
9829e0f8-cc2b-405c-8486-5e9c8f67951e, 48.0, 3
769b0b70-8719-4cbe-adaa-5129bd2c2456, 48.0, 0
78901cc6-8249-4178-9de3-90db1a0996f7, 48.0, 0
07955704-a630-4d41-a858-012651e5f78c, 48.0, 1
90b7e9d7-3663-4e29-9048-e4103c508af0, 48.0, 0
48ee5314-f160-4bc6-8057-3c1c8477f206, 48.0, 1
454debee-b3f3-4d1c-8c83-46b2d881dbf0, 48.0, 0
c746be89-462a-455a-aa81-dfdc4b41e215, 48.0, 1
f2445841-b920-47a5-a729-b1f661d5f7bd, 48.0, 0
8b58fdc2-c779-44f3-b48b-c033d6ea086f, 48.0, 0
