uuid, score, group
1cb313d2-7898-4f9a-812a-acb16d20793c, 48.0, 3
38bcd2d2-7e87-4e5b-b224-64084a0495b2, 48.0, 3
01aeb53a-de56-467d-9789-5881fb6356f9, 48.0, 0
5ba0786d-29da-40f9-8906-d7ff579710c0, 48.0, 3
89b0765b-73c9-4b81-bc31-506c98eb94f5, 48.0, 3
2aae8915-a5b0-4d45-b830-24d3c8cae272, 48.0, 2
436e7d20-e080-4f49-a74b-d01efa4e0b06, 48.0, 2
9660bac2-9eca-4883-af51-d86cd0db2ca9, 48.0, 3
a206420b-f03f-42e1-8574-a0b18fedca9c, 48.0, 3
003649c1-2004-4509-a28f-49b47bc69951, 48.0, 1
b1b157bf-3504-4bf8-8597-634b1f1755da, 48.0, 3
d4f60533-4193-49d0-aa26-2443717c7acd, 48.0, 3
01343315-09d1-4887-a96b-0d12c5c05274, 48.0, 1
7794193f-adce-4384-91fd-792e36e6da81, 48.0, 2
7ab067fa-0e27-4073-a07b-85d309e79c9e, 48.0, 2
918cbb18-b558-47d2-a9a0-ca3c1beb64d7, 48.0, 2
24521ee0-0332-480c-8527-90fcb48d2c7f, 47.0, 3
02392d1f-7538-4a60-999c-119293a331d0, 48.0, 1
a09b2dae-e247-41d2-b61e-055c8cac746b, 48.0, 2
d4709d80-4b0b-4901-bdc7-5f19dab11837, 48.0, 2
3f73e5cb-1701-4a34-8dee-baba7c741ad7, 47.0, 3
f2acf660-89be-49ae-951e-e03580e92f54, 48.0, 2
03e4481b-a037-45dc-9682-f024cc5c2261, 48.0, 1
feb8b0cb-0f63-4a38-b57a-23693b175843, 48.0, 2
04331c6b-a55e-4340-9d61-865b3217bb46, 48.0, 1
1a4608c9-a6d3-49ad-bdf8-68ba650868dd, 47.0, 2
05a4bc67-6bfa-4453-a25b-3c6094bce139, 48.0, 1
01fe1a1f-52b7-484a-87bd-a693a6b2fac6, 48.0, 0
41a79a93-9c1e-4c41-9c97-1324927334be, 47.0, 3
061095f1-6dfe-48af-8768-fc4023a9e2a9, 48.0, 1
0739df22-b919-40c9-aca7-b74bbc677691, 48.0, 1
5e075c57-13f6-44a2-9e86-c614c64bc8f7, 47.0, 3
02ec42f2-db00-4ffa-9940-1174e8d97099, 48.0, 0
26da6e0d-216f-4c3b-a447-3737ea932998, 47.0, 2
471cbf6b-bfd8-448c-97c3-e800a3a854b1, 47.0, 2
0d14f3c1-e1e6-4ca4-aea1-df8be07ca321, 48.0, 1
149c5a47-2ad0-4fd5-bdec-62ebf35b9b26, 48.0, 1
7a695931-248d-41ff-9af1-08fe906d1c5e, 47.0, 3
17b35042-9ec5-489f-9f8e-bad8ee62be2d, 48.0, 1
1cccfa74-bfb7-40b9-9b30-930ddbc17a74, 48.0, 1
5ac4edd6-ded2-48bc-b9d8-74b4236b075e, 47.0, 2
03b3920e-730f-4819-b659-dd4f8efd5ad4, 48.0, 0
c8705940-b207-485e-9461-b9c94a957ed6, 47.0, 3
73c8f74e-2c7e-43fa-ae62-91bca6efd127, 47.0, 2
1f28d8ee-0a58-445a-a74d-6ca2bf54d627, 48.0, 1
05accc44-6204-4add-8669-d03aca6dee75, 48.0, 0
c92309b1-18a2-4618-9639-d54c0deeb735, 47.0, 3
2354415f-f4e4-4f6c-9e33-724647249ae5, 48.0, 1
24760812-2adb-4446-a0d0-cca98fadb467, 48.0, 1
d9324c72-5f33-4c3d-96a3-bad088c2df04, 47.0, 3
7dbea2c5-8215-4269-8c70-f61a7f2751a4, 47.0, 2
252e80a8-94cb-40d6-9e60-20bab6ccf967, 48.0, 1
87fe6602-7528-44d3-b67d-acd174a66936, 47.0, 2
e2e24aa0-67bb-40f6-83d2-7a906519c17b, 47.0, 3
06243459-ad1c-4a91-9450-a6c71e8bfed5, 48.0, 0
2644c2fe-abd0-4821-967e-1b617729b890, 48.0, 1
089f7e1d-8472-46d7-a2fc-802994f9005c, 46.0, 3
26db493c-28eb-4299-8c3a-2140e18fb54b, 48.0, 1
27e6a7d2-c84f-4c7a-ad6e-23649a753b7f, 48.0, 1
9210de37-4426-4d84-a7f9-b7c0e19ba45b, 47.0, 2
31fc2099-a4ab-4f33-97f1-a0783d846e21, 48.0, 1
a1bfb490-62da-4c24-9ec6-39ee2208720f, 47.0, 2
42c25a26-6f81-4ac8-bff2-65c4b63f84a6, 46.0, 3
0764182c-1a0e-4406-b22f-872751a27a1c, 48.0, 0
32808d08-6b61-4267-9d21-a2a8ad67bec3, 48.0, 1
336b4e3e-2c2b-4cc3-b01b-a33b67721e76, 48.0, 1
c01a3618-3a85-45c5-9f0d-48406ccff7e0, 47.0, 2
3478ecf8-2710-4f5e-ab15-1e4e3c8947c8, 48.0, 1
594f7bf3-1605-4711-a01a-4a66c379aa95, 46.0, 3
3a20a3d8-c9a7-4063-b979-66a16e9c4858, 48.0, 1
0813116c-af15-4f4c-bc2e-8a91f0d0370d, 48.0, 0
d5d2b241-e3b8-4707-aa21-362f4ad020e7, 47.0, 2
70ffe4f3-3364-42f8-b43c-080d6c3a207c, 46.0, 3
098e6090-eaa5-47b6-97fb-4b0bbb40c385, 48.0, 0
86f512b9-d370-4747-8342-e9730b4bb200, 46.0, 3
3c6dd5fb-e9ab-4832-9d78-9e123b7d7b38, 48.0, 1
0b71557e-34a3-4c6e-977b-e1ec9389138a, 48.0, 0
